Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Segunda fase,1,ter,2014-02-18,20:30 (22:30),Independiente ec,2–2,cl Unión Española,5.000,Estadio General Rumiñahui del Valle de L...,Raúl Orozco,Relatório da Partida,
,,,,,,,,,,,,
Segunda fase,2,qua,2014-02-19,20:30 (19:30),Defensor uy,4–1,pe Real Garcilaso,8.000,Estadio Centenario,Roddy Zambrano,Relatório da Partida,
Segunda fase,2,ter,2014-02-18,22:15 (21:15),Peñarol uy,0–2,mx Santos,35.000,Estadio Centenario,Heber Roberto Lopes,Relatório da Partida,
Segunda fase,2,qui,2014-02-20,20:00,Nacional py,1–0,ve Zamora,2.000,Estadio Defensores del Chaco,Christian Ferreyra,Relatório da Partida,
Segunda fase,2,qua,2014-02-19,20:45 (21:45),Bolívar bo,1–1,mx León,18.000,Estadio Hernando Siles,Manuel Garay,Relatório da Partida,
Segunda fase,2,qua,2014-02-19,21:45,O'Higgins cl,1–0,co AD Cali,10.000,Estadio Monumental David Arellano,Ricardo Marques Ribeiro,Relatório da Partida,
Segunda fase,2,qui,2014-02-20,21:15 (22:15),The Strongest bo,1–0,pe Universitario,25.000,Estadio Hernando Siles,Julio Quintana,Relatório da Partida,
Segunda fase,2,ter,2014-02-25,17:30,Cruzeiro br,5–1,cl Univ Chile,25.000,Estádio Governador Magalhães Pinto,Saúl Laverni,Relatório da Partida,
Segunda fase,2,ter,2014-02-25,19:45,Vélez Sarsf ar,2–0,br Atl Paranaense,15.000,Estadio José Amalfitani,Roberto Silvera,Relatório da Partida,
Segunda fase,2,qua,2014-02-26,19:45,Cerro Porteño py,3–1,ar Lanús,30.000,Estadio General Pablo Rojas,Heber Roberto Lopes,Relatório da Partida,
Segunda fase,2,qua,2014-02-26,19:45,Unión Española cl,1–1,br Botafogo (RJ),7.000,Estadio Santa Laura-Universidad SEK,Juan Soto,Relatório da Partida,
Segunda fase,2,ter,2014-02-25,22:00,Arsenal ar,3–0,ve Anzoátegui,1.000,Estadio Julio Humberto Grondona,Víctor Carrillo,Relatório da Partida,
Segunda fase,2,ter,2014-02-25,22:00,Grêmio br,3–0,co Nacional,30.000,Arena do Grêmio,Patricio Polic,Relatório da Partida,
Segunda fase,2,qui,2014-02-27,19:30,San Lorenzo ar,1–0,ec Independiente,,Estadio Pedro Bidegaín,Enrique Cáceres,Relatório da Partida,
Segunda fase,2,qua,2014-02-26,22:00,Atlético Mineiro br,2–1,co Santa Fe,20.000,Estádio Raimundo Sampaio,Daniel Fedorczuk,Relatório da Partida,
Segunda fase,2,qua,2014-02-26,22:00,Flamengo br,3–1,ec CS Emelec,60.000,Estadio Jornalista Mário Filho,Néstor Pitana,Relatório da Partida,
Segunda fase,2,qui,2014-02-27,21:45,Newell's OB ar,4–0,uy Nacional,42.000,Estadio Marcelo Alberto Bielsa,Enrique Osses,Relatório da Partida,
,,,,,,,,,,,,
Segunda fase,3,ter,2014-03-11,19:00,Defensor uy,2–0,br Cruzeiro,,Estadio Luis Franzini,Diego Abal,Relatório da Partida,
Segunda fase,3,qua,2014-03-12,17:45 (19:45),Independiente ec,2–1,br Botafogo (RJ),,Estadio General Rumiñahui del Valle de L...,Manuel Garay,Relatório da Partida,
Segunda fase,3,ter,2014-03-11,19:15 (21:15),Nacional co,2–2,uy Nacional,,Estadio Atanasio Girardot,Marco Antonio Rodríguez,Relatório da Partida,
Segunda fase,3,ter,2014-03-11,19:45 (21:15),Anzoátegui ve,1–1,mx Santos,,Estadio Olímpico General José Antonio An...,Raúl Orozco,Relatório da Partida,
Segunda fase,3,qua,2014-03-12,19:45,San Lorenzo ar,1–1,cl Unión Española,,Estadio Pedro Bidegaín,Darío Ubríaco,Relatório da Partida,
Segunda fase,3,ter,2014-03-11,20:15 (21:15),The Strongest bo,2–0,ar Vélez Sarsf,,Estadio Hernando Siles,Julio Bascuñán,Relatório da Partida,
