Edicao,Acum Gols Visitante,Vitorias Visitante,Senioridade Casa,Senioridade Visitante,Casa,Visitante,Rodada
2014,1.0,1.0,1,6,Newell's OB,Grêmio,Fase de Grupos
2014,0.0,0.0,4,2,Cruzeiro,Defensor,Fase de Grupos
2014,0.0,0.0,1,5,Unión Española,San Lorenzo,Fase de Grupos
2014,5.0,1.0,4,7,Zamora,Nacional,Fase de Grupos
2014,0.0,0.0,7,1,Nacional,Newell's OB,Fase de Grupos
2014,1.0,0.0,4,6,Santos,Peñarol,Fase de Grupos
2014,1.0,0.0,1,1,Anzoátegui,Arsenal,Fase de Grupos
2014,2.0,0.0,2,5,Lanús,Cerro Porteño,Fase de Grupos
2014,0.0,0.0,6,5,Independiente,San Lorenzo,Fase de Grupos
2014,1.0,0.0,2,1,AD Cali,O'Higgins,Fase de Grupos
2014,3.0,0.0,1,4,León,Bolívar,Fase de Grupos
2014,1.0,1.0,4,1,Atl Paranaense,Vélez Sarsf,Fase de Grupos
2014,0.0,0.0,2,5,Universitario,The Strongest,Fase de Grupos
2014,2.0,0.0,2,2,Real Garcilaso,Defensor,Fase de Grupos
2014,3.0,0.0,2,1,Botafogo (RJ),Unión Española,Fase de Grupos
2014,1.0,0.0,6,5,CS Emelec,Flamengo,Fase de Grupos
2014,2.0,1.0,7,6,Nacional,Grêmio,Fase de Grupos
2014,1.0,0.0,4,4,Univ Chile,Cruzeiro,Fase de Grupos
2014,3.0,1.0,5,5,Santa Fe,Atlético Mineiro,Fase de Grupos
2014,2.0,1.0,5,4,The Strongest,Atl Paranaense,Fase de Grupos
2014,0.0,0.0,1,2,Vélez Sarsf,Universitario,Fase de Grupos
2014,2.0,0.0,5,2,San Lorenzo,Botafogo (RJ),Fase de Grupos
2014,0.0,0.0,1,6,Unión Española,Independiente,Fase de Grupos
2014,0.0,0.0,5,2,Cerro Porteño,AD Cali,Fase de Grupos
2014,4.0,1.0,1,2,O'Higgins,Lanús,Fase de Grupos
2014,3.0,0.0,7,5,Nacional,Santa Fe,Fase de Grupos
2014,2.0,0.0,5,4,Atlético Mineiro,Zamora,Fase de Grupos
2014,0.0,0.0,6,1,Peñarol,Anzoátegui,Fase de Grupos
2014,3.0,1.0,1,4,Arsenal,Santos,Fase de Grupos
2014,1.0,0.0,4,6,Bolívar,CS Emelec,Fase de Grupos
2014,2.0,0.0,5,1,Flamengo,León,Fase de Grupos
2014,1.0,0.0,4,2,Cruzeiro,Real Garcilaso,Fase de Grupos
2014,6.0,2.0,2,4,Defensor,Univ Chile,Fase de Grupos
2014,5.0,1.0,1,7,Newell's OB,Nacional,Fase de Grupos
2014,8.0,2.0,6,7,Grêmio,Nacional,Fase de Grupos
2014,3.0,1.0,2,4,Lanús,Santos,Oitavas de final
2014,4.0,1.0,1,4,León,Bolívar,Oitavas de final
2014,2.0,0.0,4,5,Cruzeiro,Cerro Porteño,Oitavas de final
2014,4.0,1.0,5,2,The Strongest,Defensor,Oitavas de final
2014,4.0,2.0,7,1,Nacional,Vélez Sarsf,Oitavas de final
2014,5.0,1.0,4,1,Bolívar,León,Oitavas de final
2014,4.0,1.0,7,5,Nacional,Atlético Mineiro,Oitavas de final
2014,4.0,2.0,5,6,San Lorenzo,Grêmio,Oitavas de final
2014,4.0,1.0,4,2,Santos,Lanús,Oitavas de final
2014,4.0,1.0,1,1,Arsenal,Unión Española,Oitavas de final
2014,3.0,0.0,2,5,Defensor,The Strongest,Oitavas de final
2014,4.0,1.0,1,1,Unión Española,Arsenal,Oitavas de final
2014,8.0,2.0,1,7,Vélez Sarsf,Nacional,Oitavas de final
2014,10.0,2.0,5,7,Atlético Mineiro,Nacional,Oitavas de final
2014,3.0,1.0,5,4,Cerro Porteño,Cruzeiro,Oitavas de final
2014,1.0,0.0,6,5,Grêmio,San Lorenzo,Oitavas de final
2014,5.0,2.0,7,1,Nacional,Arsenal,Quartas de final
2014,6.0,1.0,2,4,Lanús,Bolívar,Quartas de final
2014,5.0,2.0,5,4,San Lorenzo,Cruzeiro,Quartas de final
2014,4.0,1.0,7,2,Nacional,Defensor,Quartas de final
2014,11.0,2.0,1,7,Arsenal,Nacional,Quartas de final
2014,6.0,2.0,4,2,Bolívar,Lanús,Quartas de final
2014,1.0,1.0,4,5,Cruzeiro,San Lorenzo,Quartas de final
2014,11.0,2.0,2,7,Defensor,Nacional,Quartas de final
2014,6.0,2.0,7,2,Nacional,Defensor,Semifinais
2014,7.0,1.0,5,4,San Lorenzo,Bolívar,Semifinais
2014,11.0,2.0,2,7,Defensor,Nacional,Semifinais
2014,2.0,1.0,4,5,Bolívar,San Lorenzo,Semifinais
2014,11.0,2.0,5,7,San Lorenzo,Nacional,Final
2015,0.0,0.0,4,3,Alianza Lima,CA Huracán,Fase de Grupos
2015,0.0,0.0,2,5,Morelia,The Strongest,Fase de Grupos
2015,0.0,0.0,2,7,Palestino,Nacional,Fase de Grupos
2015,0.0,0.0,2,5,Dep Táchira,Cerro Porteño,Fase de Grupos
2015,0.0,0.0,3,1,Corinthians,Once Caldas,Fase de Grupos
2015,0.0,0.0,6,3,Independiente,Estudiantes,Fase de Grupos
2015,0.0,0.0,3,4,CA Huracán,Alianza Lima,Fase de Grupos
2015,0.0,0.0,5,2,Cerro Porteño,Dep Táchira,Fase de Grupos
2015,0.0,0.0,5,2,The Strongest,Morelia,Fase de Grupos
2015,0.0,0.0,1,3,Once Caldas,Corinthians,Fase de Grupos
2015,0.0,0.0,7,2,Nacional,Palestino,Fase de Grupos
2015,0.0,0.0,3,6,Estudiantes,Independiente,Fase de Grupos
2015,0.0,0.0,4,6,Univ Chile,CS Emelec,Fase de Grupos
2015,0.0,0.0,1,4,Wanderers,Zamora,Fase de Grupos
2015,0.0,0.0,5,5,Guaraní,Sporting Cristal,Fase de Grupos
2015,0.0,0.0,2,5,Palestino,Boca Juniors,Fase de Grupos
2015,0.0,0.0,2,4,Dep Táchira,Racing Club,Fase de Grupos
2015,0.0,0.0,5,3,The Strongest,Internacional,Fase de Grupos
2015,0.0,0.0,1,5,Atlas,Santa Fe,Fase de Grupos
2015,0.0,0.0,5,7,Libertad,Nacional,Fase de Grupos
2015,0.0,0.0,1,1,UANL,Juan Aurich,Fase de Grupos
2015,0.0,0.0,1,5,Danubio,San Lorenzo,Fase de Grupos
2015,0.0,0.0,4,5,Colo-Colo,Atlético Mineiro,Fase de Grupos
2015,0.0,0.0,3,3,Corinthians,São Paulo,Fase de Grupos
2015,0.0,0.0,2,6,San José,River Plate,Fase de Grupos
2015,0.0,0.0,3,1,CA Huracán,Mineros,Fase de Grupos
2015,0.0,0.0,3,3,Estudiantes,Barcelona SC,Fase de Grupos
2015,0.0,0.0,5,1,Atlético Mineiro,Atlas,Fase de Grupos
2015,0.0,0.0,4,5,Racing Club,Guaraní,Fase de Grupos
2015,1.0,0.0,6,5,CS Emelec,The Strongest,Fase de Grupos
2015,2.0,0.0,5,2,Sporting Cristal,Dep Táchira,Fase de Grupos
2015,0.0,0.0,3,4,Internacional,Univ Chile,Fase de Grupos
2015,0.0,0.0,5,1,Boca Juniors,Wanderers,Fase de Grupos
2015,0.0,0.0,2,4,Universitario,Cruzeiro,Fase de Grupos
2015,0.0,0.0,3,1,São Paulo,Danubio,Fase de Grupos
2015,0.0,0.0,5,4,Santa Fe,Colo-Colo,Fase de Grupos
2015,1.0,0.0,4,2,Zamora,Palestino,Fase de Grupos
2015,0.0,0.0,3,5,Barcelona SC,Libertad,Fase de Grupos
2015,0.0,0.0,1,2,Mineros,Universitario,Fase de Grupos
2015,1.0,1.0,4,1,Colo-Colo,Atlas,Fase de Grupos
2015,4.0,1.0,4,3,Cruzeiro,CA Huracán,Fase de Grupos
2015,0.0,0.0,6,1,River Plate,UANL,Fase de Grupos
2015,1.0,0.0,4,5,Univ Chile,The Strongest,Fase de Grupos
2015,1.0,0.0,5,3,San Lorenzo,Corinthians,Fase de Grupos
2015,1.0,1.0,3,6,Internacional,CS Emelec,Fase de Grupos
2015,0.0,0.0,1,2,Juan Aurich,San José,Fase de Grupos
2015,0.0,0.0,7,3,Nacional,Estudiantes,Fase de Grupos
2015,4.0,1.0,2,3,Universitario,CA Huracán,Fase de Grupos
2015,2.0,1.0,1,2,Wanderers,Palestino,Fase de Grupos
2015,2.0,0.0,5,4,Boca Juniors,Zamora,Fase de Grupos
2015,2.0,0.0,4,5,Racing Club,Sporting Cristal,Fase de Grupos
2015,3.0,0.0,5,2,Guaraní,Dep Táchira,Fase de Grupos
2015,1.0,0.0,5,3,Libertad,Estudiantes,Fase de Grupos
2015,2.0,0.0,3,7,Barcelona SC,Nacional,Fase de Grupos
2015,1.0,0.0,2,1,San José,UANL,Fase de Grupos
2015,0.0,0.0,1,6,Juan Aurich,River Plate,Fase de Grupos
2015,2.0,1.0,1,3,Danubio,Corinthians,Fase de Grupos
2015,1.0,0.0,6,3,CS Emelec,Internacional,Fase de Grupos
2015,1.0,1.0,3,5,Estudiantes,Libertad,Fase de Grupos
2015,5.0,1.0,5,4,Sporting Cristal,Racing Club,Fase de Grupos
2015,2.0,1.0,4,5,Zamora,Boca Juniors,Fase de Grupos
2015,0.0,0.0,1,2,UANL,San José,Fase de Grupos
2015,1.0,0.0,5,4,The Strongest,Univ Chile,Fase de Grupos
2015,1.0,0.0,2,5,Dep Táchira,Guaraní,Fase de Grupos
2015,0.0,0.0,5,5,Santa Fe,Atlético Mineiro,Fase de Grupos
2015,0.0,0.0,6,1,River Plate,Juan Aurich,Fase de Grupos
2015,1.0,0.0,2,1,Palestino,Wanderers,Fase de Grupos
2015,2.0,1.0,3,5,São Paulo,San Lorenzo,Fase de Grupos
2015,0.0,0.0,7,3,Nacional,Barcelona SC,Fase de Grupos
2015,0.0,0.0,1,4,Mineros,Cruzeiro,Fase de Grupos
2015,0.0,0.0,5,3,San Lorenzo,São Paulo,Fase de Grupos
2015,0.0,0.0,3,1,Corinthians,Danubio,Fase de Grupos
2015,7.0,2.0,5,4,Guaraní,Racing Club,Fase de Grupos
2015,2.0,0.0,2,4,Palestino,Zamora,Fase de Grupos
2015,4.0,1.0,2,5,Dep Táchira,Sporting Cristal,Fase de Grupos
2015,1.0,1.0,3,2,CA Huracán,Universitario,Fase de Grupos
2015,1.0,0.0,1,4,Atlas,Colo-Colo,Fase de Grupos
2015,1.0,0.0,2,1,San José,Juan Aurich,Fase de Grupos
2015,3.0,1.0,5,3,Libertad,Barcelona SC,Fase de Grupos
2015,4.0,1.0,3,7,Estudiantes,Nacional,Fase de Grupos
2015,1.0,0.0,1,6,UANL,River Plate,Fase de Grupos
2015,2.0,0.0,4,1,Cruzeiro,Mineros,Fase de Grupos
2015,1.0,1.0,5,5,Atlético Mineiro,Santa Fe,Fase de Grupos
2015,7.0,2.0,1,5,Wanderers,Boca Juniors,Fase de Grupos
2015,2.0,0.0,2,1,Universitario,Mineros,Fase de Grupos
2015,2.0,1.0,3,4,CA Huracán,Cruzeiro,Fase de Grupos
2015,3.0,1.0,5,6,The Strongest,CS Emelec,Fase de Grupos
2015,2.0,1.0,1,1,Juan Aurich,UANL,Fase de Grupos
2015,2.0,0.0,5,5,Sporting Cristal,Guaraní,Fase de Grupos
2015,0.0,0.0,6,2,River Plate,San José,Fase de Grupos
2015,5.0,0.0,4,2,Racing Club,Dep Táchira,Fase de Grupos
2015,2.0,0.0,4,1,Zamora,Wanderers,Fase de Grupos
2015,2.0,1.0,5,2,Boca Juniors,Palestino,Fase de Grupos
2015,1.0,1.0,1,5,Atlas,Atlético Mineiro,Fase de Grupos
2015,0.0,0.0,1,3,Danubio,São Paulo,Fase de Grupos
2015,1.0,1.0,4,5,Colo-Colo,Santa Fe,Fase de Grupos
2015,2.0,1.0,3,5,Corinthians,San Lorenzo,Fase de Grupos
2015,2.0,0.0,4,3,Univ Chile,Internacional,Fase de Grupos
2015,4.0,1.0,1,3,Mineros,CA Huracán,Fase de Grupos
2015,2.0,1.0,4,2,Cruzeiro,Universitario,Fase de Grupos
2015,4.0,0.0,6,4,CS Emelec,Univ Chile,Fase de Grupos
2015,2.0,0.0,3,5,Internacional,The Strongest,Fase de Grupos
2015,1.0,1.0,5,1,Santa Fe,Atlas,Fase de Grupos
2015,4.0,1.0,5,4,Atlético Mineiro,Colo-Colo,Fase de Grupos
2015,1.0,0.0,3,3,Barcelona SC,Estudiantes,Fase de Grupos
2015,1.0,1.0,7,5,Nacional,Libertad,Fase de Grupos
2015,4.0,2.0,3,3,São Paulo,Corinthians,Fase de Grupos
2015,0.0,0.0,5,1,San Lorenzo,Danubio,Fase de Grupos
2015,7.0,2.0,2,1,Universitario,UANL,Oitavas de final
2015,4.0,2.0,3,5,Estudiantes,Santa Fe,Oitavas de final
2015,4.0,2.0,5,3,Guaraní,Corinthians,Oitavas de final
2015,2.0,1.0,1,2,UANL,Universitario,Oitavas de final
2015,7.0,2.0,1,4,Wanderers,Racing Club,Oitavas de final
2015,6.0,1.0,5,3,Atlético Mineiro,Internacional,Oitavas de final
2015,3.0,1.0,3,4,São Paulo,Cruzeiro,Oitavas de final
2015,10.0,3.0,6,5,River Plate,Boca Juniors,Oitavas de final
2015,5.0,2.0,6,7,CS Emelec,Nacional,Oitavas de final
2015,3.0,1.0,5,3,Santa Fe,Estudiantes,Oitavas de final
2015,2.0,1.0,4,3,Cruzeiro,São Paulo,Oitavas de final
2015,5.0,1.0,4,1,Racing Club,Wanderers,Oitavas de final
2015,3.0,0.0,3,5,Corinthians,Guaraní,Oitavas de final
2015,1.0,1.0,3,5,Internacional,Atlético Mineiro,Oitavas de final
2015,3.0,0.0,5,6,Boca Juniors,River Plate,Oitavas de final
2015,3.0,1.0,7,6,Nacional,CS Emelec,Oitavas de final
2015,9.0,3.0,6,1,CS Emelec,UANL,Quartas de final
2015,8.0,2.0,5,4,Guaraní,Racing Club,Quartas de final
2015,8.0,1.0,5,3,Santa Fe,Internacional,Quartas de final
2015,3.0,1.0,6,4,River Plate,Cruzeiro,Quartas de final
2015,5.0,2.0,3,5,Internacional,Santa Fe,Quartas de final
2015,3.0,1.0,1,6,UANL,CS Emelec,Quartas de final
2015,6.0,1.0,4,6,Cruzeiro,River Plate,Quartas de final
2015,4.0,1.0,4,5,Racing Club,Guaraní,Quartas de final
2015,4.0,1.0,6,5,River Plate,Guaraní,Semifinais
2015,9.0,3.0,3,1,Internacional,UANL,Semifinais
2015,9.0,2.0,5,6,Guaraní,River Plate,Semifinais
2015,8.0,1.0,1,3,UANL,Internacional,Semifinais
2015,10.0,3.0,6,1,River Plate,UANL,Final
2016,0.0,0.0,3,2,CA Huracán,Caracas,Fase de Grupos
2016,0.0,0.0,1,3,U César Vallejo,São Paulo,Fase de Grupos
2016,0.0,0.0,6,4,River Plate,Univ Chile,Fase de Grupos
2016,0.0,0.0,6,5,Independiente,Guaraní,Fase de Grupos
2016,0.0,0.0,1,4,Puebla,Racing Club,Fase de Grupos
2016,0.0,0.0,2,5,Oriente Petrolero,Santa Fe,Fase de Grupos
2016,0.0,0.0,4,6,Univ Chile,River Plate,Fase de Grupos
2016,0.0,0.0,2,3,Caracas,CA Huracán,Fase de Grupos
2016,0.0,0.0,3,1,São Paulo,U César Vallejo,Fase de Grupos
2016,0.0,0.0,5,6,Guaraní,Independiente,Fase de Grupos
2016,0.0,0.0,4,1,Racing Club,Puebla,Fase de Grupos
2016,0.0,0.0,5,2,Santa Fe,Oriente Petrolero,Fase de Grupos
2016,0.0,0.0,6,5,River Plate,Palmeiras,Fase de Grupos
2016,0.0,0.0,3,5,Melgar,Atlético Mineiro,Fase de Grupos
2016,0.0,0.0,3,5,São Paulo,The Strongest,Fase de Grupos
2016,0.0,0.0,1,3,Cobresal,Corinthians,Fase de Grupos
2016,0.0,0.0,5,5,Santa Fe,Cerro Porteño,Fase de Grupos
2016,0.0,0.0,2,3,Dep Táchira,Olimpia,Fase de Grupos
2016,0.0,0.0,1,6,Toluca,Grêmio,Fase de Grupos
2016,0.0,0.0,5,6,Sporting Cristal,Peñarol,Fase de Grupos
2016,0.0,0.0,6,4,Independiente,Colo-Colo,Fase de Grupos
2016,0.0,0.0,1,6,UNAM,CS Emelec,Fase de Grupos
2016,0.0,0.0,3,5,LDU de Quito,San Lorenzo,Fase de Grupos
2016,0.0,0.0,4,4,Racing Club,Bolívar,Fase de Grupos
2016,0.0,0.0,4,3,Colo-Colo,Melgar,Fase de Grupos
2016,0.0,0.0,3,7,CA Huracán,Nacional,Fase de Grupos
2016,2.0,1.0,2,7,Rosario Cent,Nacional,Fase de Grupos
2016,0.0,0.0,5,1,Cerro Porteño,Cobresal,Fase de Grupos
2016,0.0,0.0,2,5,AD Cali,Boca Juniors,Fase de Grupos
2016,1.0,0.0,5,6,Atlético Mineiro,Independiente,Fase de Grupos
2016,0.0,0.0,6,2,CS Emelec,Dep Táchira,Fase de Grupos
2016,0.0,0.0,1,6,Trujillanos,River Plate,Fase de Grupos
2016,1.0,0.0,3,6,Melgar,Independiente,Fase de Grupos
2016,0.0,0.0,3,1,Olimpia,UNAM,Fase de Grupos
2016,0.0,0.0,5,1,The Strongest,Trujillanos,Fase de Grupos
2016,4.0,1.0,7,6,Nacional,River Plate,Fase de Grupos
2016,0.0,0.0,5,1,San Lorenzo,Toluca,Fase de Grupos
2016,0.0,0.0,7,5,Nacional,Sporting Cristal,Fase de Grupos
2016,1.0,0.0,6,3,Peñarol,CA Huracán,Fase de Grupos
2016,2.0,0.0,5,4,Boca Juniors,Racing Club,Fase de Grupos
2016,3.0,1.0,3,5,Corinthians,Santa Fe,Fase de Grupos
2016,0.0,0.0,6,3,Grêmio,LDU de Quito,Fase de Grupos
2016,0.0,0.0,4,2,Bolívar,AD Cali,Fase de Grupos
2016,0.0,0.0,5,2,Palmeiras,Rosario Cent,Fase de Grupos
2016,1.0,0.0,6,3,CS Emelec,Olimpia,Fase de Grupos
2016,3.0,1.0,1,5,Cobresal,Santa Fe,Fase de Grupos
2016,1.0,1.0,5,3,Cerro Porteño,Corinthians,Fase de Grupos
2016,4.0,1.0,2,6,Rosario Cent,River Plate,Fase de Grupos
2016,2.0,1.0,5,3,Sporting Cristal,CA Huracán,Fase de Grupos
2016,1.0,0.0,7,6,Nacional,Peñarol,Fase de Grupos
2016,1.0,0.0,6,3,River Plate,São Paulo,Fase de Grupos
2016,2.0,1.0,2,1,Dep Táchira,UNAM,Fase de Grupos
2016,3.0,1.0,5,7,Palmeiras,Nacional,Fase de Grupos
2016,0.0,0.0,6,5,Grêmio,San Lorenzo,Fase de Grupos
2016,1.0,0.0,3,1,LDU de Quito,Toluca,Fase de Grupos
2016,0.0,0.0,4,5,Bolívar,Boca Juniors,Fase de Grupos
2016,2.0,1.0,4,5,Colo-Colo,Atlético Mineiro,Fase de Grupos
2016,0.0,0.0,6,3,Independiente,Melgar,Fase de Grupos
2016,1.0,0.0,5,1,Santa Fe,Cobresal,Fase de Grupos
2016,2.0,0.0,1,3,Trujillanos,São Paulo,Fase de Grupos
2016,5.0,1.0,5,6,The Strongest,River Plate,Fase de Grupos
2016,0.0,0.0,5,6,San Lorenzo,Grêmio,Fase de Grupos
2016,5.0,2.0,6,7,Peñarol,Nacional,Fase de Grupos
2016,0.0,0.0,6,2,River Plate,Rosario Cent,Fase de Grupos
2016,2.0,0.0,3,6,Olimpia,CS Emelec,Fase de Grupos
2016,0.0,0.0,3,5,Corinthians,Cerro Porteño,Fase de Grupos
2016,1.0,0.0,5,4,Atlético Mineiro,Colo-Colo,Fase de Grupos
2016,2.0,0.0,2,4,AD Cali,Racing Club,Fase de Grupos
2016,0.0,0.0,1,2,UNAM,Dep Táchira,Fase de Grupos
2016,2.0,0.0,7,5,Nacional,Palmeiras,Fase de Grupos
2016,4.0,0.0,2,6,Dep Táchira,CS Emelec,Fase de Grupos
2016,0.0,0.0,3,5,CA Huracán,Sporting Cristal,Fase de Grupos
2016,1.0,1.0,6,5,River Plate,The Strongest,Fase de Grupos
2016,0.0,0.0,1,3,Toluca,LDU de Quito,Fase de Grupos
2016,1.0,0.0,3,1,São Paulo,Trujillanos,Fase de Grupos
2016,1.0,0.0,5,4,Boca Juniors,Bolívar,Fase de Grupos
2016,9.0,3.0,6,7,River Plate,Nacional,Fase de Grupos
2016,3.0,1.0,5,3,Santa Fe,Corinthians,Fase de Grupos
2016,2.0,1.0,6,5,Independiente,Atlético Mineiro,Fase de Grupos
2016,2.0,0.0,2,5,Rosario Cent,Palmeiras,Fase de Grupos
2016,3.0,0.0,1,3,UNAM,Olimpia,Fase de Grupos
2016,1.0,0.0,3,4,Melgar,Colo-Colo,Fase de Grupos
2016,0.0,0.0,4,2,Racing Club,AD Cali,Fase de Grupos
2016,1.0,1.0,1,5,Trujillanos,The Strongest,Fase de Grupos
2016,1.0,0.0,3,6,CA Huracán,Peñarol,Fase de Grupos
2016,0.0,0.0,1,5,Cobresal,Cerro Porteño,Fase de Grupos
2016,2.0,1.0,6,1,CS Emelec,UNAM,Fase de Grupos
2016,1.0,0.0,3,2,Olimpia,Dep Táchira,Fase de Grupos
2016,1.0,0.0,4,5,Racing Club,Boca Juniors,Fase de Grupos
2016,11.0,3.0,5,7,Sporting Cristal,Nacional,Fase de Grupos
2016,1.0,0.0,1,5,Toluca,San Lorenzo,Fase de Grupos
2016,2.0,1.0,4,6,Colo-Colo,Independiente,Fase de Grupos
2016,0.0,0.0,5,3,Atlético Mineiro,Melgar,Fase de Grupos
2016,1.0,0.0,3,6,LDU de Quito,Grêmio,Fase de Grupos
2016,6.0,1.0,3,6,São Paulo,River Plate,Fase de Grupos
2016,2.0,0.0,2,4,AD Cali,Bolívar,Fase de Grupos
2016,7.0,1.0,5,6,Palmeiras,River Plate,Fase de Grupos
2016,3.0,1.0,7,2,Nacional,Rosario Cent,Fase de Grupos
2016,4.0,1.0,7,3,Nacional,CA Huracán,Fase de Grupos
2016,2.0,0.0,6,5,Peñarol,Sporting Cristal,Fase de Grupos
2016,4.0,0.0,4,4,Bolívar,Racing Club,Fase de Grupos
2016,2.0,0.0,5,2,Boca Juniors,AD Cali,Fase de Grupos
2016,1.0,0.0,5,3,San Lorenzo,LDU de Quito,Fase de Grupos
2016,3.0,1.0,6,1,Grêmio,Toluca,Fase de Grupos
